City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
86,Hualmay,PE,70.34,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
88,Sur,OM,81.37,clear sky,22.5667,59.5289,Sur Plaza Hotel
89,Sao Francisco Do Sul,BR,73.31,broken clouds,-26.2433,-48.6381,Hotel Kontiki
91,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
96,Praya,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
97,Gigmoto,PH,80.08,scattered clouds,13.7796,124.39,Cj's Travellers Inn
98,Bubaque,GW,78.4,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
100,Matara,LK,79.57,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
103,Tautira,PF,81.09,overcast clouds,-17.7333,-149.15,Pension Oaoa
105,Chaiya,TH,78.28,overcast clouds,9.3862,99.1986,JP Place
107,Padang,ID,76.89,overcast clouds,-0.9492,100.3543,Mercure Padang
108,Mana,GF,81.7,overcast clouds,5.6592,-53.7767,LE SAMANA
109,Mirabad,AF,86.41,clear sky,30.4362,61.8383,
115,Aksu,CN,74.84,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
116,Santa Marta,CO,89.65,thunderstorm,11.2408,-74.199,Hotel La Ballena Azul
118,Kavaratti,IN,84.83,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
119,Sao Filipe,CV,73.27,broken clouds,14.8961,-24.4956,Hotel Xaguate
123,Bethel,US,72.19,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
125,Muisne,EC,78.62,overcast clouds,0.6,-80.0333,Quinta Samay
130,Hobyo,SO,83.73,clear sky,5.3505,48.5268,Iftin hotel hobyo
131,Anloga,GH,83.21,overcast clouds,5.7947,0.8973,Pin Drop Hotel
134,Grafton,US,70.84,clear sky,42.207,-71.6856,The Grafton Inn
135,Saint-Paul,RE,75.36,light rain,-21.0096,55.2707,Boucan Canot
136,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
137,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
138,Puerto Baquerizo Moreno,EC,79.79,broken clouds,-0.9,-89.6,Hotel los Algarrobos
140,Faanui,PF,81.36,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
145,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
146,Port Hedland,AU,73.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
150,Sakit,IN,86.76,clear sky,27.45,78.8167,Laucky house
151,Port-Gentil,GA,82.36,thunderstorm,-0.7193,8.7815,Fengshui Residence
155,Yola,NG,88.88,overcast clouds,9.2,12.4833,Muna Hotel
157,Isangel,VU,76.95,clear sky,-19.55,169.2667,Tanna Lodge
159,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
163,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
170,Lolodorf,CM,71.76,moderate rain,3.2333,10.7333,Auberge La Decouverte
172,Mercedes,AR,72.03,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
