City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Port Macquarie,AU,-31.4333,152.9167,61.9,86,96,7.72,overcast clouds
150,Sakit,IN,27.45,78.8167,86.76,29,0,4.63,clear sky
151,Port-Gentil,GA,-0.7193,8.7815,82.36,83,20,5.75,thunderstorm
152,The Pas,CA,53.8251,-101.2541,44.62,76,100,12.66,overcast clouds
153,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,85,75,10.36,broken clouds
154,Lebu,CL,-37.6167,-73.65,58.66,73,62,7.7,broken clouds
155,Yola,NG,9.2,12.4833,88.88,46,100,4.92,overcast clouds
156,Aktash,RU,50.3,87.7333,35.53,83,100,2.28,overcast clouds
157,Isangel,VU,-19.55,169.2667,76.95,79,1,9.01,clear sky
158,Bichura,RU,50.5881,107.6022,28.17,65,0,2.93,clear sky
159,Miri,MY,4.4148,114.0089,77.14,100,20,0.0,few clouds
160,Clyde River,CA,70.4692,-68.5914,26.83,74,40,8.05,scattered clouds
161,Thompson,CA,55.7435,-97.8558,37.56,70,100,6.91,overcast clouds
162,Kichmengskiy Gorodok,RU,59.9816,45.7854,29.3,87,47,5.32,scattered clouds
163,Sibu,MY,2.3,111.8167,77.31,94,40,0.0,scattered clouds
164,Coquimbo,CL,-29.9533,-71.3436,60.53,72,75,11.5,broken clouds
165,Sao Raimundo Nonato,BR,-9.0153,-42.6994,93.54,24,30,10.18,scattered clouds
166,Ryotsu,JP,38.0833,138.4333,59.25,53,0,2.82,clear sky
167,Nanortalik,GL,60.1432,-45.2371,34.27,78,100,12.17,overcast clouds
168,Petauke,ZM,-14.2426,31.3253,60.35,79,6,6.73,clear sky
169,Nome,US,64.5011,-165.4064,38.16,80,0,0.0,clear sky
170,Lolodorf,CM,3.2333,10.7333,71.76,98,100,1.39,moderate rain
171,Port Hardy,CA,50.6996,-127.4199,46.58,93,100,4.61,light rain
172,Mercedes,AR,-34.6515,-59.4307,72.03,50,82,6.11,broken clouds
173,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.9,80,100,8.81,overcast clouds
174,Te Anau,NZ,-45.4167,167.7167,49.44,94,28,1.72,scattered clouds
175,Mogadishu,SO,2.0371,45.3438,82.04,78,95,14.47,moderate rain
