City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Bonthe,SL,2022-05-05 18:25:11,7.5264,-12.505,84.16,69,81,5.46
243,Manzanillo,CU,2022-05-05 18:27:19,20.3433,-77.1167,87.46,51,3,8.43
244,Talcahuano,CL,2022-05-05 18:27:20,-36.7167,-73.1167,53.28,100,100,0.0
245,Gurlan,UZ,2022-05-05 18:27:20,41.8447,60.3919,75.11,38,30,11.86
246,Beloye,UA,2022-05-05 18:27:21,48.4952,39.0505,49.39,53,100,10.69
247,Marquette,US,2022-05-05 18:27:22,46.5333,-87.6335,64.78,43,92,4.81
248,Almenara,BR,2022-05-05 18:27:23,-16.1836,-40.6944,91.85,39,6,7.18
249,Puerto Escondido,MX,2022-05-05 18:27:23,15.85,-97.0667,85.03,70,20,6.91
250,Sept-Iles,CA,2022-05-05 18:26:19,50.2001,-66.3821,41.52,38,75,13.8
251,Norman Wells,CA,2022-05-05 18:27:24,65.282,-126.8329,35.64,75,100,14.97
252,Bambous Virieux,MU,2022-05-05 18:25:14,-20.3428,57.7575,77.25,83,75,19.57
253,Cassilandia,BR,2022-05-05 18:27:25,-19.1133,-51.7342,80.29,26,0,1.21
254,Vikhorevka,RU,2022-05-05 18:27:26,56.1201,101.1636,33.39,52,45,4.27
255,Soyo,AO,2022-05-05 18:27:26,-6.1349,12.3689,79.03,85,71,9.04
256,Seoul,KR,2022-05-05 18:23:26,37.5683,126.9778,54.84,94,0,2.3
257,Casper,US,2022-05-05 18:27:32,42.8666,-106.3131,63.72,44,20,8.05
258,Agaro,ET,2022-05-05 18:27:33,7.85,36.65,65.12,45,40,3.8
259,Prokuplje,RS,2022-05-05 18:27:35,43.2342,21.5881,67.28,69,47,2.84
260,Grand-Santi,GF,2022-05-05 18:27:35,4.25,-54.3833,84.42,78,81,2.93
261,Sisimiut,GL,2022-05-05 18:27:36,66.9395,-53.6735,29.28,58,4,4.92
262,Lasa,IT,2022-05-05 18:27:37,46.6166,10.7002,54.48,96,100,3.13
263,Anori,BR,2022-05-05 18:27:38,-3.7728,-61.6442,88.97,58,67,2.39
264,Vila Franca Do Campo,PT,2022-05-05 18:27:39,37.7167,-25.4333,64.81,74,100,13.65
265,Kerema,PG,2022-05-05 18:27:40,-7.9631,145.7785,76.95,86,97,3.36
266,Hervey Bay,AU,2022-05-05 18:27:41,-25.2986,152.8535,73.4,85,2,7.72
267,Ahipara,NZ,2022-05-05 18:27:41,-35.1667,173.1667,58.01,90,11,5.84
268,Isla Vista,US,2022-05-05 18:27:42,34.4133,-119.861,76.35,61,40,6.91
269,Passos,BR,2022-05-05 18:27:45,-20.7189,-46.6097,75.69,42,1,6.82
270,Tiksi,RU,2022-05-05 18:27:49,71.6872,128.8694,1.4,100,93,6.13
271,Victoria,HK,2022-05-05 18:26:43,22.2855,114.1577,77.18,82,28,8.01
272,Rey Bouba,CM,2022-05-05 18:27:52,8.6724,14.1786,86.74,49,92,5.93
273,Porto Walter,BR,2022-05-05 18:27:53,-8.2686,-72.7439,85.51,51,87,3.44
274,Zaton,RU,2022-05-05 18:27:54,53.2936,83.8072,51.39,20,0,6.71
275,Puerto Guzman,CO,2022-05-05 18:28:56,0.9703,-76.5858,75.02,89,99,3.89
276,Jilib,SO,2022-05-05 18:28:56,0.4883,42.7854,76.5,93,100,5.95
277,Pontes E Lacerda,BR,2022-05-05 18:28:57,-15.2261,-59.3353,79.5,30,6,5.32
278,Tirat Karmel,IL,2022-05-05 18:28:58,32.7617,34.9719,64.58,67,64,15.05
279,Duderstadt,DE,2022-05-05 18:28:59,51.5131,10.2595,60.08,75,70,5.82
280,Sinnamary,GF,2022-05-05 18:29:00,5.3833,-52.95,81.36,81,90,6.08
281,Mitsamiouli,KM,2022-05-05 18:29:01,-11.3847,43.2844,80.89,78,20,9.22
282,Kulhudhuffushi,MV,2022-05-05 18:29:02,6.6221,73.07,83.93,77,100,10.51
283,Urucara,BR,2022-05-05 18:29:03,-2.5364,-57.76,84.76,71,43,3.65
284,Milkovo,RU,2022-05-05 18:29:03,54.7167,158.6167,30.4,86,21,4.32
285,Celestun,MX,2022-05-05 18:29:05,20.8667,-90.4,90.37,56,79,3.51
286,Cabra,ES,2022-05-05 18:29:06,37.4725,-4.4421,70.59,45,0,1.59
287,Ucluelet,CA,2022-05-05 18:26:03,48.9329,-125.5528,48.51,92,100,3.0
288,Ribeira Grande,PT,2022-05-05 18:29:07,38.5167,-28.7,64.8,88,75,11.5
289,Milas,TR,2022-05-05 18:29:08,37.3164,27.7839,69.15,26,0,10.36
290,Amatitan,MX,2022-05-05 18:29:09,20.8333,-103.7167,90.34,14,5,3.78
291,San Luis,AR,2022-05-05 18:25:40,-33.295,-66.3356,75.15,21,0,6.15
292,Ossora,RU,2022-05-05 18:29:11,59.2353,163.0719,22.03,93,97,4.34
293,Narsaq,GL,2022-05-05 18:29:12,60.9167,-46.05,43.02,63,100,3.29
